"식사코드	급식일자	요리명"
"1	20190212	찹쌀밥<br/>조랭이떡만두국1.5.6.10.13.<br/>프랑크계란말이1.2.5.6.10.13.<br/>파래김과양념장5.6.13.<br/>모닝빵&딸기잼1.2.5.6.13.<br/>텐저린5.13."
"2	20190212	차수수밥<br/>순두부찌개5.6.9.13.18.<br/>안동찜닭5.6.8.13.15.<br/>새송이어묵볶음1.5.6.13.<br/>배추김치9.13.<br/>사과(생과)"
"3	20190212	찹쌀밥<br/>열무된장국5.6.13.<br/>영양계란찜%1.2.6.10.<br/>깐풍기@1.2.5.6.12.13.15.<br/>배추겉절이9.13."
"1	20190213	찹쌀밥<br/>아욱콩나물국5.6.13.<br/>유채나물/김치5.6.13.<br/>치즈불닭2.5.6.12.13.15.<br/>우리밀도넛1.2.5.6.13.<br/>더블업 요구르트2."
"2	20190213	찹쌀밥<br/>닭곰탕13.<br/>깻잎양념찜5.6.13.<br/>비엔나브로콜리볶음2.5.6.10.13.<br/>삼치구이2.5.6.13.<br/>사과(생과)"
"3	20190213	찹쌀밥<br/>북어콩나물국@5.13.<br/>사태떡찜5.6.10.<br/>숙주나물무침<br/>볼어묵볶음1.5.6.13.<br/>배추김치9.13."
"1	20190214	찹쌀밥<br/>소프트치즈케익1.2.5.6.13.<br/>냉이된장국5.6.13.<br/>미역줄기볶음5.<br/>제육구이5.6.10.13.<br/>프로바이오틱2."
"2	20190214	찹쌀밥<br/>버섯육개장5.6.13.<br/>두부쑥갓무침(자)5.<br/>닭떡볶이1.5.6.13.<br/>순대/김치5.6.10.13."
"3	20190214	찹쌀밥<br/>삼색수제비국5.6.13.<br/>연근메추리알조림1.5.6.13.<br/>양배추쌈&쌈장5.6.<br/>돼지불고기@5.6.10.13.<br/>깍두기9.13."
"1	20190215	찹쌀밥<br/>쇠고기당면국5.6.8.13.16.<br/>새발나물/김치5.6.13.<br/>베이컨채소구이10.13.<br/>엔요2.<br/>후렌치토스트1.2.5.6.13."
"2	20190215	찹쌀밥<br/>두부달래된장찌개5.6.13.<br/>상추겉절이/김치5.6.13.<br/>돈육고추장오븐구이5.6.10.12.13.<br/>귤(생과)"
"3	20190215	찹쌀밥<br/>오징어무국@5.6.9.13.17.18.<br/>오리불고기/깻잎쌈5.6.<br/>무말랭이무침5.6.13.<br/>부추전1.5.6.<br/>배추김치9.13."
"1	20190216	찹쌀밥<br/>쇠고기미역국5.6.16.<br/>진미채엿장조림5.6.13.17.<br/>고구마닭갈비2.5.6.13.15.<br/>유기농찰링도너츠1.2.5.6.13.<br/>배추김치9.13.<br/>세종요구르트2."
"2	20190216	치킨마요덮밥@1.5.6.13.15.<br/>무채맑은국13.<br/>배추김치9.13.<br/>회오리감자5.<br/>내사랑사과쥬스"
"3	20190216	찹쌀밥<br/>시금치바지락살된장국@5.6.13.18.<br/>돈등뼈김치찜9.10.13.<br/>매실양념깻잎1.2.4.5.6.13.<br/>새송이버섯볶음5.<br/>화인쿨2."
"1	20190217	찹쌀밥<br/>계란만두국1.5.6.10.13.<br/>파래돌김자반/김치13.<br/>제육고추장볶음5.6.10.13.<br/>딸기우유2.<br/>모닝빵&딸기잼1.2.5.6.13."
"2	20190217	김치삼겹볶음밥2.5.6.9.10.13.<br/>표고부추계란국1.13.<br/>아몬드호두김자반13.<br/>매콤닭꼬치5.6.12.13.15.<br/>배추겉절이9.13.<br/>마시는샐러드5.13."
"3	20190217	찹쌀밥<br/>어묵무국1.5.6.9.13.<br/>계란장조림1.5.6.13.<br/>매운미트볼떡볶음%1.2.5.6.10.12.13.<br/>배추김치9.13."
"1	20190218	찹쌀밥<br/>북어콩나물국5.6.13.<br/>아몬드멸치볶음4.5.6.13.<br/>돈육김치볶음&두부5.6.9.10.13.<br/>유기농요구르트/김2.<br/>우리밀와플&생크림1.2.5.6.13."
"2	20190218	찹쌀밥<br/>닭곰탕@13.15.<br/>시금치무침(자)<br/>찐왕만두&양념장1.5.6.10.13.<br/>석박지9.13.<br/>똑똑한시리얼바2.5.6.13.<br/>과일쥬스"
"3	20190218	찹쌀밥<br/>감자다시마국@5.6.9.13.<br/>고등어무조림5.6.7.<br/>비엔나브로콜리볶음2.6.10.<br/>배추김치9.13.<br/>포도발효초음료"
"1	20190219	찹쌀밥<br/>쇠고기무국5.6.13.16.<br/>건새우고추장볶음5.6.9.13.<br/>옛날소세지전1.2.5.6.10.<br/>텐저린*5.13.<br/>카카오머핀1.2.5.6.13."
"2	20190219	토스트피자1.2.5.6.12.13.<br/>전주식순대국밥 5.6.9.10.13.<br/>부추겉절이5.6.13.<br/>석박지9.13.<br/>바나나(생과)"
"3	20190219	찹쌀밥<br/>얼갈이배추된장국@5.6.9.13.<br/>매운갈비찜@5.6.10.13.<br/>매콤콩나물무침(자)5.<br/>부추잡채@5.6.8.10.13.<br/>깍두기9.13."
"1	20190220	찹쌀밥<br/>근대고추장무침5.6.<br/>초코칩 트위스트1.2.5.6.13.<br/>두부김치국5.9.13.<br/>제육구이5.6.10.13.<br/>프로바이오틱2."
"2	20190220	(+추가찹쌀밥)<br/>무채맑은국13.<br/>해물우동볶음5.6.9.12.13.<br/>카바노치소시지/머스터드1.2.5.6.10.13.<br/>배추김치9.13.<br/>쥬시쿨 자두13."
"3	20190220	찹쌀밥<br/>두부김치국@5.6.9.13.<br/>코다리무조림5.6.13.<br/>도토리묵야채무침5.6.<br/>석박지9.13.<br/>요거타임5.13."
"1	20190221	찹쌀밥<br/>생크림카스테라1.2.5.6.13.<br/>시금치콩나물국5.6.13.<br/>깻잎양념찜5.6.13.<br/>닭살고추장볶음5.6.<br/>더블업 요구르트2."
"2	20190221	자반주먹밥1.2.5.6.10.13.<br/>유부된장국5.6.13.<br/>고추장떡볶이@1.5.6.13.<br/>매콤당면김말이5.<br/>단무지<br/>파인애플쥬스5.13."
"3	20190221	찹쌀밥<br/>아욱된장국@5.6.13.<br/>중국만두%1.5.6.10.<br/>사과무생채13.<br/>고구마닭갈비@2.5.6.13.15.<br/>배추김치9.13.<br/>바나나라떼2."
"1	20190222	찹쌀밥<br/>붕어빵13.<br/>쇠고기무국5.6.13.16.<br/>김치참치볶음5.6.9.13.<br/>치즈비엔나떡볶이2.5.6.10.13.<br/>감귤쥬스"
"1	20190304	찹쌀밥<br/>북어콩나물국5.13.<br/>계란후라이1.5.<br/>스팸구이&케첩1.6.10.13.<br/>배추김치9.13.<br/>맛김13.<br/>바닐라크라운파이1.2.5.6.13.<br/>텐저린5.13."
"2	20190304	12곡쌀밥5.<br/>들깨미역국@5.6.13.<br/>오리훈제단호박볶음@<br/>오징어김치전@1.5.6.9.13.17.<br/>배추김치9.13.<br/>파인애플<br/>맛김구이13.<br/>파프리카/아삭고추&땅콩쌈장4.5.6.12.13."
"3	20190304	찹쌀밥<br/>얼큰어묵국@1.5.6.13.<br/>도토리묵김치무침@5.6.9.13.<br/>가자미크런치까스&타르타르소스%1.2.5.6.13.<br/>깍두기9.13.<br/>내사랑사과쥬스"
"1	20190305	찹쌀밥<br/>설렁탕@1.5.8.16.<br/>고소김무침5.6.13.<br/>돈육김치볶음&두부5.6.9.10.13.<br/>배추김치9.13.<br/>콘푸레이크/그래놀라2.5.6.13.<br/>황금복돼지뚱카롱1.2.5.6.13."
"2	20190305	클로렐라밥<br/>푸실리크림파스타@1.2.5.6.9.10.13.<br/>냉이된장국5.6.13.<br/>(케일쌈&쌈장)5.6.<br/>하와이언그릴스테이크&딥브라운1.2.5.6.10.11.12.13.<br/>배추김치9.13.<br/>모닝빵&딸기잼1.2.5.6.13."
"3	20190305	찹쌀밥<br/>들깨감자수제비@5.6.13.<br/>상추겉절이(자)5.6.13.<br/>부추잡채@5.6.8.10.13.<br/>제육볶음@5.6.10.13.<br/>총각김치9.13."
"1	20190306	찹쌀밥<br/>우리쌀돼지바나나링카스테라1.2.5.6.13.<br/>조랭이떡만두국1.5.6.10.13.<br/>진미채엿장조림5.6.13.17.<br/>오색현미육원전1.2.6.10.15.<br/>허니버터아몬드<br/>사과"
